"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
7,"CHL","Arica",1968,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Concepcion",1965,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"VEN","Caracas",1982,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Santiago",1974,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Potosi",1999,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Santiago",1997,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Salvador",1967,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Santiago",1983,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Goiania",1984,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"CHL","San Antonio",1991,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Santiago",1999,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Santiago",1995,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"ARG","Mendoza",1973,3,2,"San Juan",NA,1965,1997,NA,NA,NA,NA,1
7,"CHL","Santiago",1975,3,2,"Valparaiso",NA,1965,NA,NA,NA,NA,NA,1
7,"ARG","La Plata",1989,0,0,NA,NA,1971,1982,1983,1985,NA,NA,0
7,"CHL","Santiago",1965,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Potosi",1974,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Santiago",1982,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"URY","Montevideo",2003,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"ARG","La Plata",1968,0,0,NA,NA,1971,1982,1983,1985,NA,NA,0
7,"CHL","Concepcion",2003,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Santiago",1971,3,2,"Antofagasta, Arica, Concepcion, Osorno, San Antonio, Valdivia",NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","San Antonio",1987,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Tarija",1982,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Porto Alegre",1998,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Sao Jose do Rio Preto",1989,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"COL","Bogota",1967,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","La Paz",1986,3,2,NA,NA,1966,NA,NA,NA,NA,NA,0
7,"CHL","Valparaiso",1994,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Goiania",1966,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"ARG","Mendoza",1984,3,2,NA,NA,1965,1997,NA,NA,NA,NA,1
