"country_iso3","year","registrations"
"FIN",1967,103
"FJI",1967,NA
"FRA",1967,1127
"GAB",1967,1
"GBR",1967,260
"GEO",1967,NA
"GHA",1967,79
"GIN",1967,10
"GMB",1967,1
"GNB",1967,NA
"GNQ",1967,NA
"GRC",1967,266
"GRD",1967,NA
"GTM",1967,62
"GUAYA",1967,0
"GUM",1967,0
"COMIS",1967,NA
"HKG",1967,42
"HND",1967,16
"HRV",1967,NA
"HTI",1967,43
"HUN",1967,11
"IDN",1967,319
"IND",1967,204
"IRL",1967,43
"IRN",1967,443
"IRQ",1967,44
"ISL",1967,22
"ISPAL",1967,53
"ISR",1967,0
"ITA",1967,440
"JAM",1967,8
"JOR",1967,79
"JPN",1967,493
"KAZ",1967,NA
"KEN",1967,25
"KGZ",1967,NA
"KHM",1967,6
"KNA",1967,NA
"KOR",1967,151
"KWT",1967,13
"LAO",1967,1
"LBN",1967,75
"LBR",1967,11
"LBY",1967,85
"LCA",1967,NA
"LIE",1967,0
"LKA",1967,35
"LSO",1967,2
"LTU",1967,NA
"LUX",1967,1
"LVA",1967,NA
"MAC",1967,0
"MAR",1967,38
"MCO",1967,0
"MDA",1967,NA
"MDG",1967,24
"MDV",1967,0
"MEX",1967,136
"MKD",1967,NA
"MLI",1967,9
"MLT",1967,0
"MMR",1967,12
"MNE",1967,NA
"MNG",1967,0
"MOZ",1967,1
"MRT",1967,0
"MSR",1967,0
"MTQ",1967,0
"MUS",1967,6
"MWI",1967,8
"MYS",1967,21
"NAM",1967,0
"NER",1967,0
"NGA",1967,62
"NIC",1967,27
"NLD",1967,22
"NONAT",1967,7
"NOR",1967,66
"NPL",1967,1
"NZL",1967,4
"OMN",1967,0
"PAK",1967,106
"PAN",1967,19
"PER",1967,101
"PHL",1967,25
"PNG",1967,NA
"POL",1967,48
"PRI",1967,1
"PRK",1967,0
"PRT",1967,75
"PRY",1967,20
"PSE",1967,NA
"QAT",1967,NA
"ROU",1967,17
"RUABU",1967,3
"RUS",1967,NA
"RWA",1967,NA
"SAU",1967,57
"SDN",1967,27
"SEN",1967,5
"SGP",1967,14
"SLB",1967,NA
"SLE",1967,20
"SLV",1967,24
"SMR",1967,0
"SOM",1967,15
"SRB",1967,NA
"SSD",1967,NA
"SUHH",1967,3
"SVK",1967,NA
"SVN",1967,NA
"SWE",1967,72
"SWZ",1967,NA
"SYC",1967,NA
"SYR",1967,43
"TCA",1967,0
"TCD",1967,8
"TGO",1967,14
"THA",1967,287
"TJK",1967,NA
"TKM",1967,NA
"TON",1967,NA
"TTO",1967,1
"TUN",1967,60
"TUR",1967,726
"TWN",1967,15
"TZA",1967,19
"UGA",1967,40
"UKR",1967,NA
"URY",1967,22
"USA",1967,1915
"UZB",1967,NA
"VAT",1967,1
"VCT",1967,NA
"VEN",1967,45
"VGB",1967,0
"VNM",1967,218
"WSM",1967,0
"YDYE",1967,0
"YEM",1967,0
"YUCS",1967,146
"ZAF",1967,27
"ZMB",1967,2
"ZWE",1967,1
"AFG",1968,120
"AGO",1968,0
"ALB",1968,0
"AND",1968,0
"ANHH",1968,0
"ARE",1968,115
"ARG",1968,84
"ARM",1968,NA
"ATG",1968,NA
"AUS",1968,86
"AUT",1968,6
"AZE",1968,NA
"BDI",1968,NA
"BEL",1968,114
"BEN",1968,27
"BFA",1968,7
"BGD",1968,NA
"BGR",1968,18
"BHR",1968,NA
"BHS",1968,NA
"BIH",1968,NA
"BLR",1968,NA
"BLZ",1968,NA
"BMU",1968,0
"BOL",1968,65
"BRA",1968,286
"BRB",1968,0
"BRN",1968,NA
"BTN",1968,0
"BWA",1968,0
"CAF",1968,0
"CAN",1968,210
"CHE",1968,243
"CHL",1968,84
"CHN",1968,0
"CIV",1968,16
"CMR",1968,17
"COD",1968,NA
"COG",1968,NA
"COL",1968,99
"COM",1968,NA
"CONGO",1968,24
"CPV",1968,NA
"CRI",1968,23
"CSHH",1968,273
"CSXX",1968,NA
"CUB",1968,4
"CYP",1968,25
"CZE",1968,NA
"DDDE",1968,0
"DEU",1968,173
"DJI",1968,NA
"DMA",1968,NA
"DNK",1968,41
"DOM",1968,9
"DZA",1968,91
"ECU",1968,73
"EGY",1968,0
"ERI",1968,NA
"ESP",1968,276
"EST",1968,NA
"ETH",1968,33
"FIN",1968,99
"FJI",1968,NA
"FRA",1968,922
"GAB",1968,11
"GBR",1968,223
"GEO",1968,NA
"GHA",1968,78
"GIN",1968,2
"GMB",1968,0
"GNB",1968,NA
"GNQ",1968,0
"GRC",1968,288
"GRD",1968,NA
"GTM",1968,48
"GUAYA",1968,0
"GUM",1968,0
"COMIS",1968,NA
"HKG",1968,3
"HND",1968,11
"HRV",1968,NA
"HTI",1968,36
"HUN",1968,17
"IDN",1968,300
"IND",1968,222
"IRL",1968,22
"IRN",1968,420
"IRQ",1968,40
"ISL",1968,24
"ISPAL",1968,29
"ISR",1968,0
"ITA",1968,337
"JAM",1968,14
"JOR",1968,125
"JPN",1968,619
"KAZ",1968,NA
"KEN",1968,16
"KGZ",1968,NA
"KHM",1968,18
"KNA",1968,NA
"KOR",1968,142
"KWT",1968,2
"LAO",1968,1
"LBN",1968,56
"LBR",1968,17
"LBY",1968,74
"LCA",1968,NA
"LIE",1968,0
"LKA",1968,39
"LSO",1968,0
"LTU",1968,NA
"LUX",1968,1
"LVA",1968,NA
"MAC",1968,0
"MAR",1968,18
"MCO",1968,0
"MDA",1968,NA
"MDG",1968,68
"MDV",1968,0
"MEX",1968,173
"MKD",1968,NA
"MLI",1968,13
"MLT",1968,1
"MMR",1968,5
"MNE",1968,NA
"MNG",1968,0
"MOZ",1968,1
"MRT",1968,2
"MSR",1968,0
"MTQ",1968,0
"MUS",1968,3
"MWI",1968,4
"MYS",1968,24
"NAM",1968,0
"NER",1968,2
"NGA",1968,64
"NIC",1968,29
"NLD",1968,22
"NONAT",1968,0
"NOR",1968,80
"NPL",1968,13
"NZL",1968,8
"OMN",1968,0
"PAK",1968,171
"PAN",1968,11
"PER",1968,114
"PHL",1968,32
"PNG",1968,NA
"POL",1968,54
"PRI",1968,2
"PRK",1968,0
"PRT",1968,103
"PRY",1968,22
"PSE",1968,NA
"QAT",1968,NA
"ROU",1968,30
"RUABU",1968,33
"RUS",1968,NA
"RWA",1968,NA
"SAU",1968,22
"SDN",1968,55
"SEN",1968,3
"SGP",1968,9
"SLB",1968,NA
"SLE",1968,18
"SLV",1968,36
"SMR",1968,0
"SOM",1968,32
"SRB",1968,NA
"SSD",1968,NA
"SUHH",1968,3
"SVK",1968,NA
"SVN",1968,NA
"SWE",1968,81
"SWZ",1968,0
"SYC",1968,NA
"SYR",1968,55
"TCA",1968,0
"TCD",1968,1
"TGO",1968,26
"THA",1968,272
"TJK",1968,NA
"TKM",1968,NA
"TON",1968,NA
"TTO",1968,2
"TUN",1968,78
"TUR",1968,647
